Supplier,total_spent_supplier,percent_share_spend,number_purchases,first_purchase,last_purchase
1STOPTIONSAFETY,800.4,0.038,1,2020-12-11,2020-12-11
2U GETSMARTER (UK) LTD,2200.0,0.105,1,2020-08-20,2020-08-20
3DBROADCAST,2364.0,0.113,1,2020-06-15,2020-06-15
A CHRISTIE & SONS,1182.0,0.056,2,2020-03-25,2020-05-01
A W SOLUTIONS,1359.96,0.065,1,2020-02-10,2020-02-10
A1 ENVIRO SCIENCE,1946.4,0.093,2,2020-03-04,2020-03-04
ABBEY BUSINESS INTERIORS,588.96,0.028,1,2020-08-26,2020-08-26
ACCESS2COMFORT,1167.6,0.056,1,2020-09-29,2020-09-29
ACTIVATE LEARNING,3980.0,0.19,2,2020-09-02,2020-09-02
AD-OPTIONS LTD,900.0,0.043,1,2020-02-07,2020-02-07
ADASS ORG,582.0,0.028,1,2020-02-11,2020-02-11
ADDISON LEE,8480.0,0.404,12,2020-04-17,2020-07-31
ADOBE,5873.51,0.28,9,2020-02-17,2020-10-13
ADVANCED K9 SOLUTIONS,2160.0,0.103,3,2020-02-17,2020-03-20
AFRQ O-NOUACER,635.36,0.03,1,2020-03-17,2020-03-17
AGILE CHANGE,1288.8,0.061,2,2020-05-18,2020-05-28
AGS MOVERS,666.98,0.032,1,2020-04-30,2020-04-30
AIR INDIA,1665.0,0.079,2,2020-06-10,2020-06-19
AIR MAURITIUS,5458.58,0.26,3,2020-08-31,2020-08-31
AIRBNB HMKFRTFKFR,1683.95,0.08,1,2020-07-27,2020-07-27
AIRQUEE LTD,9265.6,0.442,2,2020-09-25,2020-09-28
ALLBATTERIES UK LTD,639.36,0.03,1,2020-04-23,2020-04-23
ALPHATRON MARINE B.V.,1093.98,0.052,1,2020-10-23,2020-10-23
ALTBERG,900.0,0.043,1,2020-05-07,2020-05-07
ALZA,802.4,0.038,1,2020-08-05,2020-08-05
AMADEUS FARNBOROUGH,541.25,0.026,1,2020-03-04,2020-03-04
AMAZON,68137.13,3.249,73,2020-01-08,2020-12-24
AMZ EVAQ8,671.04,0.032,1,2020-12-10,2020-12-10
ANDARK,5090.650000000001,0.243,5,2020-01-09,2020-08-20
ANGLOCO LTD,992.4,0.047,1,2020-04-01,2020-04-01
AO RETAIL LIMITED,2096.0,0.1,2,2020-02-28,2020-12-18
APPLE,7655.0,0.365,2,2020-03-30,2020-09-18
APS GROUP,3636.38,0.173,3,2020-05-05,2020-09-11
ARDEN GRANGE,2120.79,0.101,3,2020-01-14,2020-10-06
ARDEN WINCH & CO LTD,17655.66,0.842,2,2020-02-12,2020-02-18
ARDEN WINCH & COMPANY,92199.06,4.396,11,2020-03-02,2020-04-20
ARGOS,7270.459999999999,0.347,10,2020-03-11,2020-11-17
ASPIRE LEADERSHIP LTD,588.0,0.028,1,2020-02-19,2020-02-19
ATLANTIC HOTEL,560.0,0.027,1,2020-07-30,2020-07-30
B&Q,600.0,0.029,1,2020-03-06,2020-03-06
B2C DISTRIBUTION,739.7,0.035,1,2020-05-20,2020-05-20
BACASAFETY,1065.0,0.051,1,2020-12-15,2020-12-15
BACKCARE SOLUTIONS,17299.079999999998,0.825,11,2020-01-22,2020-11-18
BACKCS,2749.16,0.131,2,2020-06-22,2020-09-15
BANNER,902.94,0.043,1,2020-08-14,2020-08-14
BARDEN UK,1012.1,0.048,2,2020-05-22,2020-11-03
BEACHCOMBER RESORTS,976.14,0.047,1,2020-12-15,2020-12-15
BEACONS & LIGHTBARS,559.73,0.027,1,2020-10-14,2020-10-14
BEYOND LIMITS TRAINING,1008.0,0.048,1,2020-12-16,2020-12-16
BHF SHOPS,6920.0,0.33,1,2020-09-10,2020-09-10
BIOTHANEBERT,603.22,0.029,1,2020-08-17,2020-08-17
BIRMINGHAM TELECOMMUNICATION,730.08,0.035,1,2020-03-20,2020-03-20
BLACKS,768.0,0.037,1,2020-02-25,2020-02-25
BLS MONDAY,3096.0,0.148,1,2020-08-05,2020-08-05
BLUESAT SOLUTIONS LTD,2537.16,0.121,2,2020-04-23,2020-06-12
BOND,600.0,0.029,1,2020-09-09,2020-09-09
BOOKER LIMITED FOLKEST,1268.77,0.06,2,2020-09-24,2020-11-10
BRIGHTHELM CENTRE,500.0,0.024,1,2020-12-10,2020-12-10
BRISTOL AIRPORT LIMITED,2622.0,0.125,3,2020-03-13,2020-03-24
BRISTOL MANAGEMENT,1654.86,0.079,1,2020-07-29,2020-07-29
BRISTOL MANAGEMENT CENTRE,1859.0,0.089,1,2020-03-03,2020-03-03
BRITANNIA COACHES LTD,2484.0,0.118,1,2020-02-28,2020-02-28
BRITISH RED CROSS,716.4,0.034,1,2020-09-14,2020-09-14
BT BILL PAYMENT,537.47,0.026,1,2020-02-03,2020-02-03
BUCK & HICKMAN,2854.85,0.136,2,2020-03-13,2020-03-26
BUY IT DIRECT,666.56,0.032,1,2020-04-17,2020-04-17
BUYITDIRECT,749.91,0.036,1,2020-11-19,2020-11-19
CAPITA BUSINESS SERVS,2148.0,0.102,1,2020-08-19,2020-08-19
CARILLON IND SERVS,2648.4,0.126,4,2020-07-31,2020-07-31
CARTHEY ECOMMERCE S L,709.69,0.034,1,2020-03-11,2020-03-11
CARTRIDGE SAVE,719.48,0.034,1,2020-01-16,2020-01-16
CATERING APPLIANCE SUP,692.29,0.033,1,2020-06-12,2020-06-12
CDP APARTMENTS,15318.15,0.73,6,2020-04-01,2020-08-18
CENTRAL CITY TRAINING,1317.33,0.063,2,2020-01-22,2020-02-03
CERTAGS LIMITED,556.8,0.027,1,2020-12-17,2020-12-17
CHAIROFFICE,1241.96,0.059,1,2020-07-29,2020-07-29
CHARTERED MANAGEMENT,740.0,0.035,1,2020-02-03,2020-02-03
CIPS,615.6,0.029,1,2020-02-25,2020-02-25
CITYDOC,7335.0,0.35,10,2020-09-03,2020-12-23
CLAUDIA LAMB INDEPENDENT,2000.0,0.095,4,2020-01-24,2020-01-24
COMECA,3121.0699999999997,0.149,5,2020-01-27,2020-11-13
COMPASS SERVICES UK LT,564.9,0.027,1,2020-07-23,2020-07-23
CONSEIL DE COOPERATION,1075.79,0.051,1,2020-02-25,2020-02-25
CORPORATE IT,4740.0,0.226,1,2020-03-17,2020-03-17
COSTCO WHOLESALE UK,611.79,0.029,1,2020-04-03,2020-04-03
COUNTY HARDWARE,817.7,0.039,1,2020-01-31,2020-01-31
CS-CATERING-EQ,2866.04,0.137,2,2020-06-19,2020-07-17
CURRYS,16810.579999999998,0.802,17,2020-01-24,2020-12-09
