Date,Amount,Supplier,supplier_clean,supplier_fuzzy
2020-12-01,988.71,Amazon,amazon,amazon
2020-12-01,3240.97,LVL-NORTH DOWN SPECIAL,lvl north down special,lvl north down special
2020-12-01,895.32,PETER LEONARD MOORINGS,peter leonard moorings,peter leonard moorings
2020-12-01,803.25,SEA SCOPE TRAINING SOL,sea scope training sol,sea scope training sol
2020-12-02,792.3,Amazon,amazon,amazon
2020-12-02,942.29,Amazon,amazon,amazon
2020-12-03,840.0,IKEA LTD SHOP ONLINE,ikea shop online,ikea shop online
2020-12-07,1400.0,HARBOURSIDE MARINA LIM,harbourside marina lim,harbourside marina lim
2020-12-07,2580.0,RATE,rate,rate
2020-12-07,3000.0,RATE,rate,rate
2020-12-08,503.72,Amazon,amazon,amazon
2020-12-08,540.0,EAST KENT RECYCLING,east kent recycling,east kent recycling
2020-12-08,1164.6,PAUL CAFFE LIMITED KSH,paul caffe ksh,paul caffe ksh
2020-12-09,899.5,Amazon,amazon,amazon
2020-12-09,898.0,CURRYS ONLINE,currys online,currys online
2020-12-09,1062.0,FURNITUREATWORK,furnitureatwork,furnitureatwork
2020-12-10,671.04,AMZ EVAQ8 ,amz evaq8,amz evaq8
2020-12-10,500.0,BRIGHTHELM CENTRE,brighthelm centre,brighthelm centre
2020-12-10,899.0,PAYPAL RACINGBINOC,paypal racingbinoc,paypal racingbinoc
2020-12-10,678.82,SALTERNS MARINA,salterns marina,salterns marina
2020-12-10,969.19,UK POINT OF SALE GROUP,point of sale group,point of sale group
2020-12-11,800.4,1STOPTIONSAFETY,1stoptionsafety,1stoptionsafety
2020-12-11,834.49,Amazon,amazon,amazon
2020-12-11,576.0,THE HUB EVENTS,the hub events,the hub events
2020-12-11,600.0,THE HUB EVENTS,the hub events,the hub events
2020-12-14,1783.09,Dean and Reddyhoff,dean and reddyhoff,dean and reddyhoff
2020-12-14,767.45,PROBRAND LTD,probrand,probrand
2020-12-14,1060.0,VIETNAM A,vietnam a,vietnam a
2020-12-15,1065.0,BACASAFETY,bacasafety,bacasafety
2020-12-15,976.14,BEACHCOMBER RESORTS,beachcomber resorts,beachcomber resorts
2020-12-15,568.8,DARTSYSTEMS,dartsystems,dartsystems
2020-12-15,1250.82,SNORT,snort,snort
2020-12-16,861.07,Amazon,amazon,amazon
2020-12-16,1008.0,BEYOND LIMITS TRAINING,beyond limits training,beyond limits training
2020-12-16,1074.0,HELLY HANSEN UK LTD,helly hansen,helly hansen
2020-12-16,4986.0,HELLY HANSEN UK LTD,helly hansen,helly hansen
2020-12-16,517.2,NATIONALOFFICEFURN,nationalofficefurn,nationalofficefurn
2020-12-16,904.95,NITON EQUIPMENT LTD,niton equipment,niton equipment
2020-12-16,508.05,PCC WYP,pcc wyp,pcc wyp
2020-12-16,3470.4,STEPS & STILLAGES,steps stillages,steps stillages
2020-12-16,2205.85,TOTAL SOLUTIONS LTD,total,total
2020-12-17,556.8,CERTAGS LIMITED,certags,certags
2020-12-17,1518.0,OAKLEWEIGH,oakleweigh,oakleweigh
2020-12-18,817.34,Amazon,amazon,amazon
2020-12-18,1338.0,AO RETAIL LIMITED,ao retail,ao retail
2020-12-18,968.4,DIRECT FABRICS,direct fabrics,direct fabrics
2020-12-18,876.0,FIRE LABEL MERCHANDISI,fire label merchandisi,fire label merchandisi
2020-12-18,577.62,ONLINE ERGONOMICS LTD,online ergonomics,online ergonomics
2020-12-18,922.0,PAPERCUT,papercut,papercut
2020-12-18,780.0,R.K. GRAPHICS,r k graphics,r k graphics
2020-12-21,502.31,Amazon,amazon,amazon
2020-12-21,687.81,EDF ENERGY-ECOM,edf energy ecom,edf energy ecom
2020-12-21,1244.27,SIMPLY ERGONOMIC L,simply ergonomic,simply ergonomic
2020-12-21,3177.0,VIETNAM A,vietnam a,vietnam a
2020-12-21,3177.0,VIETNAM A,vietnam a,vietnam a
2020-12-22,514.15,LVL-NORTH DOWN SPECIAL,lvl north down special,lvl north down special
2020-12-22,944.4,SG WORLD LTD,sg world,sg world
2020-12-23,684.0,CITYDOC,citydoc,citydoc
2020-12-23,972.0,CITYDOC,citydoc,citydoc
2020-12-23,1224.0,CITYDOC,citydoc,citydoc
2020-12-23,669.0,RACHAELS KITCHEN LTD,rachaels kitchen,rachaels kitchen
